0,46,164,runner4
1,62,181,runner20
2,440,561,runner5
3,453,574,runner6
4,467,585,runner7
5,480,606,runner8
6,494,614,runner22
7,509,631,runner26
8,537,664,runner21
9,843,963,runner16
10,858,974,runner15
11,1170,1294,runner14
12,1181,1309,runner9
13,1195,1320,runner13
14,1218,1338,runner12
15,1226,1353,runner17
16,1236,1361,runner18
17,1454,1582,runner11
18,1470,1598,runner10
19,1488,1619,runner19
20,2725,2853,runner3
21,2742,2866,runner24
22,2907,3030,runner2
23,3074,3192,runner1
24,5430,5550,runner4
25,5442,5563,runner20
26,5744,5870,runner5
27,5758,5882,runner6
28,5774,5895,runner7
29,5798,5919,runner8
30,5812,5931,runner22
31,5828,5952,runner26
32,5860,5986,runner21
33,6402,6532,runner16
34,6419,6547,runner15
35,6556,6689,runner14
36,6569,6695,runner9
37,6580,6706,runner13
38,6596,6728,runner12
39,6608,6712,runner17
40,6621,6737,runner18
41,7007,7129,runner3
42,7022,7146,runner24
43,7061,7198,runner11
44,7074,7208,runner10
45,7088,7223,runner19
46,7124,7241,runner2
47,7215,7332,runner1
48,8534,8731,runner23
49,10670,10846,runner4
50,10687,10865,runner20
51,10928,11094,runner6
52,10939,11107,runner7
53,10950,11083,runner5
54,10955,11115,runner8
55,10967,11137,runner22
56,10989,11155,runner26
57,10999,11170,runner21
58,11350,11476,runner3
59,11366,11488,runner24
60,11380,11504,runner2
61,11394,11522,runner1
62,11562,11742,runner16
63,11589,11760,runner15
64,11780,11944,runner14
65,11789,11953,runner9
66,11803,11964,runner13
67,11824,11983,runner12
68,11835,11993,runner17
69,11849,11999,runner18
70,12562,12706,runner25
71,12634,12813,runner11
72,12654,12827,runner10
73,12673,12855,runner19
74,13857,14958,runner4
75,14859,14970,runner20
76,14977,15168,runner23
77,15187,15298,runner5
78,15196,15305,runner6
79,15209,15331,runner22
80,15213,15324,runner7
81,15231,15314,runner8
82,15238,15349,runner26
83,15281,15396,runner21
84,15605,15728,runner2
85,15614,15734,runner1
86,15623,15747,runner3
87,15634,15755,runner24
88,16013,16117,runner15
89,16261,16386,runner14
90,16274,16398,runner9
91,16283,16405,runner13
92,16303,16427,runner12
93,16321,16443,runner17
94,16333,16461,runner18
95,16522,17452,runner10
96,16800,17447,runner11
97,17332,17475,runner19
98,18348,18685,runner25
99,19877,19993,runner2
100,19890,20014,runner1
101,19919,20030,runner24
102,20368,20487,runner4
103,20400,20511,runner8
104,20552,20676,runner5
105,20565,20688,runner6
106,20581,20701,runner7
107,20591,20712,runner22
108,20611,20727,runner26
109,20624,20748,runner21
110,21329,21520,runner23
111,21410,21527,runner15
112,21424,21541,runner16
113,21634,21760,runner9
114,21647,21772,runner13
115,21663,21789,runner12
116,21675,21807,runner17
117,23151,23286,runner11
118,23165,23299,runner10
119,23181,23318,runner19
120,23512,23654,runner25
121,24363,24490,runner1
122,24376,24507,runner2
123,24391,24521,runner3
124,25669,25823,runner4
125,25685,25843,runner20
126,25704,25856,runner8
127,25728,25887,runner5
128,25745,25902,runner6
129,25761,25924,runner7
130,25773,25941,runner22
131,25807,25973,runner26
132,26813,26971,runner15
133,26830,26992,runner16
134,26977,27150,runner9
135,26993,27164,runner13
136,27014,27185,runner12
137,27026,27195,runner17
138,27038,27221,runner18
139,27855,28053,runner23
140,28650,28815,runner11
141,28665,28832,runner10
142,28688,28856,runner19
143,28739,28868,runner1
144,28756,28879,runner2
145,28772,28898,runner3
146,29480,29628,runner25
147,29805,29921,runner4
148,29816,29928,runner20
149,29829,29940,runner8
150,29988,30101,runner7
151,29999,30110,runner22
152,30020,30117,runner26
153,30039,30157,runner21
154,31295,31413,runner15
155,31306,31430,runner16
156,31500,31626,runner9
157,31512,31637,runner13
158,31527,31657,runner12
159,31540,31669,runner17
160,31561,31673,runner18
